"snapshot_date","snapshot_ts_utc","FreightID","FlightName","BlockDate","AirlinePartnerID","AirlineName","FlightClassID","ClassAlias","DepartureCityID","CityFrom","ArrivalCityID","CityTo","Country","PartnerID","BusinessEntity","hard_block","releasedays","first_reserve_utc","HasStopSale","StopSaleIssueDT_UTC","IsOnRequest","Seats_gross","Sold_gross","Empty","Seats_net","Sold_net","BlockRecords","TotalDaysInSale","ResourceCount","last_stamp"
"2026-03-15",2026-03-15 11:31:47.773,15603,VSV5337,"2026-02-25",157575,SCAT (),2,Y,838396,Cam Ranh,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-09-15 05:13:00.0000000 +00:00",0,\N,0,64,64,0,64,64,1,181,1,\u0000\u0000\u0000\u000b\"�L�
"2026-03-15",2026-03-15 11:31:47.773,12848,VSV5354,"2026-02-24",157575,SCAT (),2,Y,378598,Astana,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-08-30 10:53:00.0000000 +00:00",0,\N,0,91,91,0,85,85,1,197,1,\u0000\u0000\u0000\u000b+��s
"2026-03-15",2026-03-15 11:31:47.773,12849,VSV5355,"2026-02-24",157575,SCAT (),2,Y,293967,Phu Quoc,378598,Astana,Kazakhstan,151696,KZ,1,\N,"2025-07-28 08:12:00.0000000 +00:00",0,\N,0,91,87,4,80,76,1,230,1,\u0000\u0000\u0000\u000b\/8��
"2026-03-15",2026-03-15 11:31:47.773,13507,VSV5320,"2026-02-24",157575,SCAT (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-06-12 10:39:00.0000000 +00:00",0,\N,0,92,92,0,92,92,1,276,1,\u0000\u0000\u0000\u000b-��?
"2026-03-15",2026-03-15 11:31:47.773,13586,KC161,"2026-02-24",97318,Air Astana (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-08-08 04:36:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,219,1,\u0000\u0000\u0000\u000b\u000e\u0017\u0000B
"2026-03-15",2026-03-15 11:31:47.773,13587,KC162,"2026-02-24",97318,Air Astana (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-07-18 09:03:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,39,1,40,39,1,240,1,\u0000\u0000\u0000\u000b\/\u0011u�
"2026-03-15",2026-03-15 11:31:47.773,14072,KC173,"2026-02-24",97318,Air Astana (),2,Y,378598,Astana,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-18 08:36:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b\u001f\fp.
"2026-03-15",2026-03-15 11:31:47.773,14866,VSV5312,"2026-02-24",157575,SCAT (),2,Y,293967,Phu Quoc,700444,Aktobe,Kazakhstan,151696,KZ,1,\N,"2025-05-29 03:32:00.0000000 +00:00",0,\N,0,50,49,1,50,49,1,290,1,\u0000\u0000\u0000\u000b.<\u0017+
"2026-03-15",2026-03-15 11:31:47.773,15602,VSV5336,"2026-02-24",157575,SCAT (),2,Y,367408,Almaty,838396,Cam Ranh,Vietnam,151696,KZ,1,\N,"2025-09-15 04:54:00.0000000 +00:00",0,\N,0,64,64,0,64,64,1,181,1,\u0000\u0000\u0000\u000b\"�\"�
"2026-03-15",2026-03-15 11:31:47.773,12523,VSV5319,"2026-02-23",157575,SCAT (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-09-05 08:45:00.0000000 +00:00",0,\N,0,92,92,0,92,92,1,191,1,\u0000\u0000\u0000\u000b0���
